published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-12,300.00,345.00,300.00,345.00,15.00,150.00,49524.00,1
2026-08-13,355.30,396.70,355.30,396.70,14.99,220.00,85853.00,1
2026-08-14,400.00,456.20,400.00,456.20,15.00,220.00,97664.00,1
2026-08-17,435.00,524.60,435.00,524.60,14.99,460.00,238403.00,1
2026-08-18,540.30,603.20,540.30,603.20,14.98,970.00,583577.00,1
2026-08-19,633.00,693.60,633.00,693.60,14.99,2880.00,1996302.00,1
2026-08-20,728.20,797.60,728.20,797.60,14.99,28980.00,23097581.00,1
2026-08-21,837.40,855.00,752.00,774.00,-2.96,130560.00,102270420.00,-1
