published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-09-10,1000.00,1035.00,1000.00,1026.00,2.60,9717.00,9985362.70,1
2026-09-11,1026.00,1031.00,1020.00,1026.00,0.00,7429.00,7628139.80,0
2026-09-14,1010.00,1053.00,1010.00,1038.00,1.17,6899.00,7200666.40,1
2026-09-15,1025.00,1042.00,1025.00,1040.00,0.19,3215.00,3335689.50,1
2026-09-16,1020.00,1042.90,1020.00,1036.00,-0.38,3501.00,3623188.00,-1
2026-09-17,1036.00,1067.00,1036.00,1041.00,0.48,13707.00,14453993.30,1
2026-09-18,1028.00,1072.00,1028.00,1048.00,0.67,8453.00,8976401.00,1
2026-09-22,996.00,1069.90,996.00,1069.80,2.08,5705.00,5996206.70,1
